$ Sample tag : Temp dependency of DMR
$ DMR
$ 14.05.2013 14:29:28
$eV	counts	K	Sec	Vac
10.2	16	4.60	1.04	1.534E-6
9.6	26	4.60	2.08	1.534E-6
9.0	13	4.60	3.12	1.537E-6
8.9	11	4.60	4.16	1.534E-6
8.2	15	4.60	5.20	1.534E-6
7.8	13	4.60	6.24	1.537E-6
7.1	13	4.60	7.28	1.534E-6
7.0	11	4.60	8.32	1.534E-6
6.7	14	4.60	9.36	1.534E-6
6.6	53	4.60	10.40	1.534E-6
6.7	16	4.60	11.44	1.534E-6
6.2	15	4.60	12.48	1.534E-6
6.1	10	4.60	13.52	1.531E-6
6.0	21	4.60	14.56	1.531E-6
6.0	15	4.60	15.60	1.531E-6
5.9	20	4.60	16.64	1.534E-6
5.9	20	4.60	17.68	1.531E-6
5.9	13	4.60	18.72	1.531E-6
5.9	17	4.60	19.76	1.534E-6
5.9	16	4.60	20.80	1.531E-6
5.9	23	4.60	21.84	1.531E-6
5.9	11	4.60	22.87	1.531E-6
5.8	21	4.60	23.92	1.531E-6
5.8	23	4.60	24.96	1.531E-6
5.8	17	4.60	26.00	1.531E-6
5.8	13	4.60	27.04	1.531E-6
5.8	15	4.60	28.07	1.531E-6
5.8	59	4.60	29.11	1.531E-6
5.8	12	4.60	30.15	1.531E-6
5.8	13	4.60	31.19	1.531E-6
5.8	18	4.60	32.24	1.531E-6
5.8	14	4.60	33.28	1.531E-6
5.8	8	4.60	34.32	1.531E-6
5.8	21	4.60	35.36	1.531E-6
5.8	12	4.60	36.40	1.531E-6
5.8	14	4.60	37.44	1.531E-6
5.8	17	4.60	38.48	1.531E-6
5.8	24	4.60	39.52	1.531E-6
5.8	24	4.60	40.56	1.531E-6
5.8	13	4.60	41.60	1.531E-6
5.8	18	4.60	42.64	1.531E-6
5.8	12	4.60	43.67	1.531E-6
5.7	19	4.60	44.72	1.531E-6
5.7	17	4.60	45.75	1.531E-6
5.7	21	4.60	46.79	1.531E-6
5.7	19	4.60	47.83	1.531E-6
5.7	16	4.60	48.87	1.531E-6
5.7	17	4.60	49.91	1.531E-6
5.7	19	4.60	50.95	1.531E-6
5.7	17	4.60	51.99	1.531E-6
5.7	24	4.60	53.03	1.531E-6
5.7	18	4.60	54.07	1.531E-6
5.7	19	4.60	55.11	1.531E-6
5.7	20	4.60	56.15	1.531E-6
0.0	14	4.60	57.67	1.531E-6
5.7	16	4.60	58.71	1.531E-6
5.7	18	4.60	59.75	1.531E-6
5.7	11	4.60	60.79	1.531E-6
5.7	14	4.60	61.83	1.531E-6
5.7	13	4.60	62.86	1.531E-6
5.7	18	4.60	63.90	1.531E-6
5.7	12	4.60	64.94	1.531E-6
5.7	13	4.60	65.98	1.531E-6
5.7	18	4.60	67.02	1.531E-6
5.7	24	4.60	68.06	1.531E-6
5.7	19	4.60	69.10	1.531E-6
6.1	29	4.60	70.14	1.531E-6
6.3	22	4.60	71.18	1.534E-6
6.6	16	4.60	72.24	1.537E-6
6.9	15	4.60	73.28	1.537E-6
7.2	17	4.60	74.32	1.541E-6
7.5	14	4.60	75.36	1.537E-6
8.0	12	4.60	76.40	1.537E-6
8.5	14	4.60	77.44	1.534E-6
8.9	15	4.60	78.48	1.534E-6
9.4	15	4.60	79.52	1.531E-6
9.8	18	4.60	80.56	1.534E-6
10.3	14	4.60	81.60	1.531E-6
10.6	21	4.60	82.64	1.531E-6
11.0	18	4.60	83.67	1.531E-6
11.3	24	4.60	84.71	1.531E-6
11.6	18	4.60	85.75	1.531E-6
11.9	19	4.60	86.79	1.531E-6
12.1	26	4.60	87.83	1.531E-6
12.4	11	4.60	88.87	1.523E-6
12.6	21	4.60	89.91	1.531E-6
12.8	11	4.60	90.95	1.531E-6
12.9	12	4.60	91.99	1.531E-6
13.1	18	4.60	93.03	1.531E-6
13.2	20	4.60	94.07	1.531E-6
13.3	20	4.60	95.11	1.531E-6
13.4	15	4.60	96.14	1.531E-6
13.5	22	4.60	97.18	1.531E-6
13.7	14	4.60	98.24	1.531E-6
13.8	16	4.60	99.28	1.531E-6
13.9	20	4.60	100.32	1.531E-6
14.0	16	4.60	101.36	1.531E-6
14.1	15	4.60	102.40	1.531E-6
14.2	11	4.60	103.44	1.531E-6
14.3	17	4.60	104.48	1.531E-6
14.4	11	4.60	105.52	1.531E-6
14.5	19	4.60	106.56	1.531E-6
14.6	17	4.60	107.60	1.531E-6
14.7	16	4.60	108.64	1.531E-6
14.8	16	4.60	109.68	1.531E-6
14.9	17	4.60	110.72	1.531E-6
15.0	17	4.60	111.76	1.531E-6
15.1	16	4.60	112.80	1.531E-6
15.2	8	4.60	113.83	1.531E-6
15.3	22	4.60	114.87	1.531E-6
